city,state,shape,duration,date_time,lon,lat
Visalia,CA,light,2 minutes,2021-12-15T21:45:00,-119.34793664122137,36.35665012722647
Cincinnati,OH,triangle,14 seconds,2021-12-16T09:45:00,-84.48136299381886,39.17450311744155
Knoxville,TN,triangle,20-30 seconds,2021-12-10T19:30:00,-83.98011528822055,35.96156134085213
Fullerton,CA,unknown,2 minutes,2020-07-07T23:00:00,-117.9249784126984,33.87742158730159
Las Vegas,NV,oval,10 minutes,2020-04-23T03:00:00,-115.18659190010855,36.14124586319218
